cik_int,cik10,cik_original,company_name,primary_ticker,all_tickers,n_tickers,earliest_filing_date,latest_filing_date,n_filings,n_years,name_normalized
1084869,1084869,1084869,1 800 FLOWERS COM INC,FLWS,{'FLWS'},1,00:00.0,00:00.0,21,21,1 800 FLOWERS COM
1770787,1770787,1770787,"10x Genomics, Inc.",TXG,{'TXG'},1,00:00.0,00:00.0,2,2,"10X GENOMICS, INC."
1627611,1627611,1627611,12 Retech Corp,RETC,{'RETC'},1,00:00.0,00:00.0,4,4,12 RETECH CORP
893739,893739,893739,180 DEGREE CAPITAL CORP. /NY/,TURN,{'TURN'},1,00:00.0,00:00.0,22,22,180 DEGREE CAPITAL CORP.
884380,884380,884380,"1812 Brewing Company, Inc.",KEGS,{'KEGS'},1,00:00.0,00:00.0,1,1,"1812 BREWING COMPANY, INC."
1599407,1599407,1599407,1847 Holdings LLC,EFSH,{'EFSH'},1,00:00.0,00:00.0,3,3,1847 HOLDINGS LLC
1404123,1404123,1404123,1Life Healthcare Inc,ONEM,{'ONEM'},1,00:00.0,00:00.0,2,2,1LIFE HEALTHCARE INC
34782,34782,34782,1ST SOURCE CORP,SRCE,{'SRCE'},1,00:00.0,00:00.0,24,24,1ST SOURCE
1347858,1347858,1347858,"22nd Century Group, Inc.",XXII,{'XXII'},1,00:00.0,00:00.0,10,10,"22ND CENTURY GROUP, INC."
1804591,1804591,1804591,23andMe Holding Co.,ME,{'ME'},1,00:00.0,00:00.0,1,1,23ANDME HOLDING CO.
1459417,1459417,1459417,"2U, Inc.",TWOU,{'TWOU'},1,00:00.0,00:00.0,7,7,"2U, INC."
933972,933972,933972,374Water Inc.,SCWO,{'SCWO'},1,00:00.0,00:00.0,13,13,374WATER INC.
910638,910638,910638,3D SYSTEMS CORP,DDD,{'DDD'},1,00:00.0,00:00.0,25,25,3D SYSTEMS
66740,66740,66740,3M CO,MMM,{'MMM'},1,00:00.0,00:00.0,23,23,3M
1650648,1650648,1650648,"4D Molecular Therapeutics, Inc.",FDMT,{'FDMT'},1,00:00.0,00:00.0,1,1,"4D MOLECULAR THERAPEUTICS, INC."
