section,ngram,score,rank
0,of,0.03147986233211349,1
0,in,0.027348235797066366,2
0,to,0.027186591145910297,3
0,our,0.019342286095122157,4
0,a,0.018154599568173405,5
0,for,0.016309089076259043,6
0,we,0.016088160786323063,7
0,products,0.01608394847915869,8
0,are,0.015495782339178437,9
0,is,0.013897541842258066,10
0,with,0.01202209087370788,11
0,as,0.011788391215885902,12
0,on,0.011706203650538097,13
0,or,0.011627346318076087,14
0,company,0.011430599293419483,15
0,the company,0.010556119433969814,16
0,that,0.010389741580296617,17
0,in the,0.01023056887679711,18
0,s,0.00970352703886613,19
0,by,0.009461849063261018,20
0,of the,0.00939907556255164,21
0,from,0.008961325037974699,22
0,also,0.007791608552891162,23
0,sales,0.007545160010452665,24
0,its,0.007504390306459315,25
1,the,0.037678734104552226,1
1,our,0.03543738089832256,2
1,of,0.03471786070728894,3
1,to,0.03324201407914831,4
1,in,0.027231166254772506,5
1,or,0.026234907817876733,6
1,we,0.020784001188337748,7
1,a,0.019425678076729593,8
1,may,0.01793343780774206,9
1,could,0.01694022540670211,10
1,on,0.01629921659561554,11
1,be,0.016040208405456655,12
1,for,0.01439091656861893,13
1,products,0.014080094853250801,14
1,are,0.013863628390916427,15
1,that,0.013263890348797672,16
1,have,0.012788129105460698,17
1,of our,0.012556549270484624,18
1,s,0.012113106142558354,19
1,company,0.011688382221364948,20
1,the company,0.011333965814609763,21
1,in the,0.011232926614100898,22
1,as,0.010947732269624358,23
1,business,0.010941592421842122,24
1,is,0.010775966946505327,25
2,1b.,0.22498852128662875,1
2,item 1b.,0.22498852128662875,2
2,2.,0.20686576957244504,3
2,item 2.,0.20686576957244504,4
2,staff,0.08561416300555784,5
2,comments,0.08228114258739758,6
2,unresolved,0.08165635155389087,7
2,unresolved staff,0.08081629596467252,8
2,staff comments,0.07864026577258794,9
2,none.,0.06638154891419132,10
2,comments none.,0.057204959386149556,11
2,not,0.047388836439721464,12
2,comments not,0.045429118028010085,13
2,applicable.,0.04303663708577138,14
2,not applicable.,0.04303663708577138,15
2,item 3.,0.025542634523108634,16
2,3.,0.025542634523108634,17
2,the,0.01637816195584412,18
2,comments.,0.013308444481149944,19
2,staff comments.,0.013308444481149944,20
2,that,0.010162059303486255,21
2,not applicable,0.009929279394099502,22
2,applicable,0.009929279394099502,23
2,commission staff,0.009749151732154737,24
2,commission,0.009749151732154737,25
3,item,0.07169710070379984,1
3,and,0.04676866173365533,2
3,the,0.04460072274564544,3
3,3.,0.04434409965960616,4
3,item 3.,0.04434409965960616,5
3,2.,0.044049116015479624,6
3,item 2.,0.044049116015479624,7
3,in,0.042046767001625115,8
3,of,0.03125291893880602,9
3,are,0.025391167097174146,10
3,facilities,0.022503875345438944,11
3,we,0.021511101877815506,12
3,to,0.021208056955250562,13
3,our,0.019623909069005102,14
3,for,0.019319852339229684,15
3,square,0.016964868314729698,16
3,000,0.016785676217389314,17
3,at,0.01674310118258557,18
3,in the,0.015215214418550978,19
3,a,0.015108710189672412,20
3,is,0.014539463237582054,21
3,approximately,0.014455903814418962,22
3,company,0.014137565991018192,23
3,the company,0.013861865154046528,24
3,offices,0.01355010040670796,25
4,item,0.04156237844180146,1
4,of,0.038315917821789926,2
4,in,0.0351290303757667,3
4,and,0.03402614711516191,4
4,to,0.027734651356445657,5
4,3.,0.026476092680777552,6
4,4.,0.025733409681167087,7
4,item 3.,0.025328372457829988,8
4,item 4.,0.02459552806633449,9
4,a,0.02336570477242649,10
4,on,0.018906856218496224,11
4,for,0.017090759266545987,12
4,court,0.016919195575626326,13
4,that,0.016051631272726224,14
4,in the,0.015892856917844127,15
4,district,0.015458974436136932,16
4,s,0.014891289220241266,17
4,filed,0.014868214966576332,18
4,of the,0.014572251057204784,19
4,is,0.01449829639030257,20
4,abbott,0.014023712910209936,21
4,or,0.013143085206182924,22
4,company,0.012652102169211704,23
4,with,0.01176168637691551,24
4,the company,0.011670277328621947,25
5,corporate,0.0501354671531236,1
5,officer,0.04967372801763579,2
5,corporate officer,0.04939554016082408,3
5,elected corporate,0.04936939163344811,4
5,elected,0.048771311448508166,5
5,president,0.042650520453852966,6
5,to,0.04155441165351692,7
5,vice,0.041099771636619126,8
5,vice president,0.04095840848873256,9
5,item,0.038258736763023625,10
5,and,0.03287703517257386,11
5,item 4.,0.02917018794377635,12
5,4.,0.02917018794377635,13
5,the,0.02762139216580819,14
5,of,0.026942604273180622,15
5,present,0.022353348320042467,16
5,to present,0.022340826297290388,17
5,senior,0.01865395568403581,18
5,senior vice,0.01820652969705771,19
5,part,0.016925252866750243,20
5,part ii,0.016925252866750243,21
5,ii,0.016925252866750243,22
5,5.,0.016856507360208762,23
5,ii item,0.016819174530635445,24
5,item 5.,0.016750257057153523,25
6,item,0.06158715320011228,1
6,of,0.052617230624931136,2
6,5.,0.040351141080272435,3
6,item 5.,0.040351141080272435,4
6,and,0.033904748509838094,5
6,6.,0.031207960647046184,6
6,item 6.,0.0309176120636326,7
6,stock,0.030186636607628096,8
6,common,0.029350518514080735,9
6,on,0.025582423716080868,10
6,to,0.0247086109109465,11
6,in,0.02277468556616558,12
6,for,0.02253579522761886,13
6,our,0.022376488243868266,14
6,s,0.021876194184869968,15
6,company,0.020696053431518074,16
6,the company,0.020062185415750108,17
6,common stock,0.019548616679468427,18
6,equity,0.019518086991688385,19
6,a,0.018401705472152786,20
6,dividends,0.016218724688253663,21
6,is,0.016110103717256588,22
6,as,0.015544657676043967,23
6,shares,0.014536688275247053,24
6,s common,0.01439553589282324,25
7,item,0.1056577684087501,1
7,item 6.,0.07303337374866543,2
7,6.,0.07303337374866543,3
7,item 7.,0.06303202218724636,4
7,7.,0.06303202218724636,5
7,of,0.05230211747730168,6
7,the,0.045336366147737214,7
7,and,0.03913103228637307,8
7,to,0.034569173806947365,9
7,in,0.0343031332223269,10
7,financial,0.028877159339828904,11
7,a,0.02535167705345724,12
7,million,0.024249552534070552,13
7,for,0.022807602194051445,14
7,we,0.02198896575216598,15
7,data,0.021636198406784192,16
7,selected,0.020952097601409824,17
7,selected financial,0.020406542781653304,18
7,our,0.019734620581756297,19
7,financial data,0.017484937869208857,20
7,as,0.015010927465411593,21
7,of the,0.014998176732107913,22
7,on,0.014797445078074577,23
7,from,0.01351316148337115,24
7,notes,0.01325354387377682,25
8,and,0.0353737232873464,1
8,in,0.03342629513013848,2
8,to,0.03067851126246027,3
8,a,0.020082334826874385,4
8,for,0.01957402412116105,5
8,our,0.01776311611310895,6
8,million,0.016986186256296006,7
8,as,0.01546127138533521,8
8,we,0.014771395603085616,9
8,on,0.014533472128915504,10
8,of the,0.012892277647944378,11
8,by,0.012214211897847028,12
8,are,0.011944555037738211,13
8,or,0.01177833497346312,14
8,is,0.01177830446677465,15
8,sales,0.011630591193768082,16
8,from,0.011529794499821631,17
8,in the,0.011416164447372921,18
8,with,0.011391232644446568,19
8,was,0.011047171325084154,20
8,that,0.009894470544611707,21
8,company,0.00955472163610874,22
